                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.0958,                 3.8232,                0.34175,                0.99169,                 1.2514,                0.84376,                0.70205,                0.80459,                0.54127,                0.75128,                0.53259,                0.56126,                 0.2323,                 1.2057,                 4.0685,                  0.372,                 1.0253,                  1.337,              0.0009605,              0.0009605,              0.0009605
                     45,                 1.0993,                 3.7871,                0.33926,                 1.0099,                 1.2535,                0.80145,                0.72162,                 0.8004,                0.52912,                0.66089,                0.54935,                0.53014,                0.22922,                 1.2208,                 4.0355,                0.38878,                 1.0548,                 1.3374,             0.00093575,             0.00093575,             0.00093575
                     46,                 1.0812,                 3.8099,                0.34606,                0.97258,                 1.2412,                0.77357,                0.72527,                0.79359,                0.53126,                0.74502,                0.51955,                0.54949,                0.23113,                 1.2074,                 4.0859,                0.38421,                 1.0427,                 1.3274,               0.000911,               0.000911,               0.000911
                     47,                 1.0873,                 3.7473,                0.33565,                0.96887,                 1.2397,                0.81759,                0.71881,                0.80391,                0.53454,                0.69829,                0.55493,                0.54233,                0.22688,                 1.2223,                 4.0325,                0.37096,                 1.0378,                 1.3387,             0.00088625,             0.00088625,             0.00088625
                     48,                  1.073,                 3.6624,                0.33141,                0.96282,                 1.2385,                0.79177,                0.70807,                0.80366,                0.53808,                0.75996,                0.55307,                0.57517,                0.23582,                 1.1875,                 4.0235,                 0.3627,                 1.0306,                 1.3084,              0.0008615,              0.0008615,              0.0008615
                     49,                 1.0725,                 3.7407,                0.34795,                0.96608,                 1.2404,                0.81669,                0.70019,                0.79932,                0.52824,                0.72109,                0.54885,                0.56662,                0.23169,                 1.2546,                 3.9233,                 0.3602,                 1.0455,                 1.3783,             0.00083675,             0.00083675,             0.00083675
                     50,                 1.0741,                 3.7454,                0.33053,                0.96794,                 1.2366,                0.82089,                0.72545,                0.81047,                0.54784,                0.74332,                0.54468,                0.57063,                0.23659,                 1.2105,                  3.942,                0.36318,                 1.0163,                 1.3267,               0.000812,               0.000812,               0.000812
                     51,                 1.0575,                 3.6021,                0.33773,                0.92831,                 1.2164,                 0.7788,                0.74115,                0.79505,                0.52725,                0.75866,                0.50652,                0.55176,                0.23542,                 1.2024,                 3.9212,                0.36364,                 1.0418,                 1.3179,             0.00078725,             0.00078725,             0.00078725
                     52,                 1.0545,                 3.6331,                0.33222,                0.93615,                   1.21,                0.82805,                0.69948,                0.80802,                0.52939,                0.77867,                0.54004,                0.56056,                0.22771,                 1.2113,                 3.9559,                0.37074,                 1.0363,                  1.333,              0.0007625,              0.0007625,              0.0007625
                     53,                  1.048,                  3.616,                0.33835,                0.93541,                 1.2202,                 0.8366,                0.72461,                 0.8079,                0.54155,                0.75582,                0.53631,                0.56746,                0.23784,                 1.2082,                 3.9225,                0.37266,                 1.0256,                 1.3216,             0.00073775,             0.00073775,             0.00073775
                     54,                 1.0715,                 3.6674,                0.33664,                0.97044,                 1.2391,                0.84471,                0.69893,                0.81528,                0.54651,                0.78098,                0.52457,                0.55888,                0.24106,                 1.1928,                 3.8728,                 0.3621,                 1.0066,                 1.3389,               0.000713,               0.000713,               0.000713
                     55,                 1.0497,                 3.6841,                  0.337,                0.95251,                 1.2246,                0.76234,                0.72875,                0.80319,                0.53766,                0.78439,                0.52844,                0.57316,                0.25012,                 1.1904,                 3.8845,                0.35642,                 1.0181,                  1.329,             0.00068825,             0.00068825,             0.00068825
                     56,                 1.0329,                 3.4415,                0.32246,                 0.9171,                 1.2073,                  0.887,                0.67242,                0.81655,                0.55032,                   0.75,                0.54189,                0.56769,                 0.2557,                 1.1723,                 3.8418,                 0.3526,                0.96366,                 1.3141,              0.0006635,              0.0006635,              0.0006635
                     57,                 1.0534,                 3.5242,                0.32671,                0.91371,                 1.2272,                0.83103,                0.70391,                0.80594,                0.55488,                 0.7627,                0.55307,                0.58287,                 0.2672,                 1.1492,                  3.746,                0.35064,                0.96831,                 1.2943,             0.00063875,             0.00063875,             0.00063875
                     58,                 1.0263,                 3.4288,                0.32831,                0.89749,                 1.2132,                0.79692,                0.73184,                0.81723,                0.56681,                0.71032,                0.58101,                  0.576,                0.25995,                 1.1344,                 3.8163,                 0.3732,                0.94968,                   1.28,               0.000614,               0.000614,               0.000614
                     59,                 1.0209,                 3.4518,                0.32847,                 0.9118,                 1.2112,                0.83354,                0.69938,                0.81808,                0.56607,                0.78553,                0.54565,                0.57704,                0.26208,                 1.1354,                 3.7529,                0.36595,                0.95318,                 1.2893,             0.00058925,             0.00058925,             0.00058925
                     60,                 1.0082,                 3.3717,                0.32775,                 0.8807,                 1.1957,                0.79089,                0.72545,                0.81898,                 0.5583,                0.72859,                0.54004,                0.55984,                 0.2514,                 1.1678,                 3.7198,                0.35909,                0.93242,                 1.3135,              0.0005645,              0.0005645,              0.0005645
                     61,                 1.0278,                 3.4532,                0.33579,                0.90691,                 1.2077,                0.88692,                0.68649,                0.82243,                0.55786,                0.76267,                 0.5568,                 0.5776,                0.25285,                 1.1495,                 3.7644,                0.35937,                0.95138,                 1.3003,             0.00053975,             0.00053975,             0.00053975
                     62,                0.99711,                 3.3588,                0.31917,                0.87265,                 1.1789,                0.79508,                0.74421,                0.82383,                0.55948,                0.78181,                0.56425,                0.58819,                0.26447,                 1.1431,                 3.7671,                0.35744,                0.95798,                 1.2829,               0.000515,               0.000515,               0.000515
                     63,                 1.0144,                  3.314,                0.32656,                0.88936,                 1.2019,                0.84899,                0.71695,                0.82437,                0.56885,                0.75296,                0.60164,                0.61925,                0.28399,                 1.1353,                 3.6231,                0.34955,                0.92168,                 1.2694,             0.00049025,             0.00049025,             0.00049025
                     64,                0.99085,                 3.2746,                0.31855,                0.85555,                 1.1742,                0.86605,                0.69274,                0.82017,                 0.5628,                0.80712,                0.55328,                0.60063,                0.26757,                 1.1663,                 3.7993,                0.35836,                0.96618,                 1.2949,              0.0004655,              0.0004655,              0.0004655
                     65,                0.98282,                 3.3343,                0.31434,                0.85581,                 1.1803,                0.80263,                0.74216,                0.82333,                0.56302,                0.80826,                0.56518,                0.60817,                0.27053,                 1.1607,                 3.7587,                0.35428,                0.94511,                 1.2963,             0.00044075,             0.00044075,             0.00044075
                     66,                0.98872,                 3.3291,                0.31373,                0.87076,                  1.196,                 0.8208,                0.71322,                0.82267,                0.56917,                0.74485,                0.58473,                0.60802,                0.27973,                 1.1392,                 3.7476,                0.36503,                0.95763,                 1.2753,               0.000416,               0.000416,               0.000416
                     67,                0.97901,                 3.2125,                0.31567,                0.85727,                 1.1671,                 0.8007,                0.74067,                0.82382,                0.56251,                0.77998,                0.57356,                0.61585,                0.28918,                 1.1354,                 3.6629,                0.34911,                0.92518,                 1.2777,             0.00039125,             0.00039125,             0.00039125
                     68,                0.96021,                 3.1292,                0.31791,                0.82902,                 1.1721,                0.83502,                0.71695,                0.82574,                0.56375,                 0.7356,                0.58659,                0.59699,                0.27908,                 1.1399,                 3.6328,                  0.351,                0.92069,                 1.2805,              0.0003665,              0.0003665,              0.0003665
                     69,                0.94731,                 3.1484,                0.31835,                 0.8103,                 1.1594,                0.83468,                0.71881,                0.81363,                0.55935,                0.76214,                0.57542,                0.60301,                0.28283,                 1.1678,                 3.6375,                0.34962,                0.95795,                 1.2998,             0.00034175,             0.00034175,             0.00034175
                     70,                0.96517,                 3.1461,                0.31664,                0.83458,                 1.1742,                0.80171,                0.76164,                0.83089,                0.56497,                0.75542,                0.59404,                0.61284,                0.28605,                 1.1439,                  3.633,                0.35444,                0.91925,                 1.2815,               0.000317,               0.000317,               0.000317
                     71,                0.90122,                 2.7823,                0.29195,                 0.7515,                 1.1313,                 0.8212,                0.72253,                0.81187,                0.56046,                0.79135,                0.59327,                0.63023,                 0.2917,                 1.1477,                 3.6238,                0.34371,                0.94508,                 1.2952,             0.00029225,             0.00029225,             0.00029225
                     72,                 0.8913,                 2.6754,                 0.2926,                0.69992,                 1.1247,                0.82065,                0.72439,                0.81974,                0.56908,                0.81251,                0.57728,                0.62021,                0.28875,                  1.137,                 3.6133,                0.34366,                 0.9241,                 1.2866,              0.0002675,              0.0002675,              0.0002675
                     73,                0.86567,                 2.6015,                0.28729,                0.68279,                 1.1079,                0.83536,                 0.6992,                0.80644,                0.56457,                0.77072,                0.56962,                0.59901,                0.28915,                 1.1556,                 3.6311,                0.35373,                0.97851,                 1.2966,             0.00024275,             0.00024275,             0.00024275
                     74,                 0.8653,                 2.5541,                0.28719,                0.68434,                  1.107,                0.80688,                0.72357,                0.81704,                0.56081,                0.78543,                0.57728,                0.62238,                0.29594,                 1.1493,                 3.6226,                0.35434,                0.94724,                  1.299,               0.000218,               0.000218,               0.000218
                     75,                0.86651,                 2.5769,                0.28462,                0.67643,                 1.1074,                0.84522,                0.71184,                0.82096,                0.56689,                0.78162,                0.57986,                0.61949,                0.29929,                 1.1552,                 3.5736,                0.34544,                0.92139,                 1.2992,             0.00019325,             0.00019325,             0.00019325
                     76,                0.85733,                 2.5038,                 0.2819,                0.67143,                 1.0973,                0.82192,                0.73184,                0.81916,                0.56752,                 0.7884,                0.58976,                0.63241,                0.30411,                 1.1532,                 3.5907,                0.34506,                0.93778,                    1.3,              0.0001685,              0.0001685,              0.0001685
                     77,                0.85617,                  2.512,                0.28492,                0.66264,                 1.0961,                0.81923,                0.72579,                0.82044,                 0.5655,                 0.7896,                0.57542,                0.61326,                0.29359,                 1.1448,                 3.5864,                0.34824,                0.94819,                 1.2921,             0.00014375,             0.00014375,             0.00014375
                     78,                0.83294,                 2.4316,                0.28117,                0.65631,                 1.0915,                0.85334,                0.72439,                0.82565,                0.56701,                0.78185,                0.60068,                0.62793,                0.30119,                 1.1437,                  3.563,                0.34858,                0.95066,                 1.2926,               0.000119,               0.000119,               0.000119
                     79,                0.83286,                 2.4315,                0.27692,                0.64203,                 1.0902,                0.84491,                0.74056,                0.82898,                0.57152,                0.81409,                0.59529,                0.64012,                 0.3035,                 1.1335,                 3.5131,                0.34726,                0.91772,                 1.2855,              9.425e-05,              9.425e-05,              9.425e-05
                     80,                0.82133,                 2.4343,                0.27851,                0.63183,                 1.0794,                0.84008,                0.73557,                0.82528,                0.57058,                0.83048,                0.59299,                0.65047,                0.30376,                 1.1428,                 3.4964,                0.35012,                0.92507,                  1.293,               6.95e-05,               6.95e-05,               6.95e-05
